Movie Id,Year,Title,Genre 1,Genre 2,Genre 3
182337,1968,Cinétracts,NA,NA,NA
195495,2005,Familia,Drama,NA,NA
3078,1999,Liberty Heights,Drama,NA,NA
134704,2011,Comedy Central Roast of Charlie Sheen,Comedy,NA,NA
219976,2019,47 Hours to Live,Horror,Thriller,NA
205715,2017,Reis,NA,NA,NA
169206,2015,Through the Air,Drama,NA,NA
211986,2018,A Raunchy Christmas Story,Comedy,NA,NA
171387,2011,Çalgı Çengi,Comedy,NA,NA
31930,1966,Masculin Féminin,Drama,NA,NA
198189,2018,Viper Club,Drama,Thriller,NA
183321,2010,The Song of Lunch,Drama,NA,NA
73449,1963,The V.I.P.s,Drama,NA,NA
80214,1999,The Swan and the Wanderer (Kulkuri ja joutsen),Drama,NA,NA
128265,1953,The Stranger Wore a Gun,Action,Western,NA
27087,1960,The Sinners of Hell,Drama,Horror,NA
136102,1959,Costa Azzurra,NA,NA,NA
192043,2018,Red Cow,Drama,NA,NA
8699,2000,Dancing in September,Drama,NA,NA
69964,1959,The Giant of Marathon (La Battaglia di Maratona),Action,Drama,War
6326,2002,City of Ghosts,Crime,Drama,Thriller
279808,2022,The Grab,Documentary,NA,NA
133547,2015,El bosque de Karadima,Drama,NA,NA
185653,2013,WWE: The Top 25 Rivalries in Wrestling History,NA,NA,NA
132309,1983,Without a Trace,Drama,Mystery,NA
41,1995,Richard III,Drama,War,NA
75395,2010,Frozen,Drama,Horror,Thriller
236141,2021,American Skin,Drama,NA,NA
182323,2004,Mum's Guest (Mehman-e Maman),NA,NA,NA
196889,2019,Glass,Drama,Horror,Mystery
255581,2019,Rent,Drama,NA,NA
164183,2002,Terminal Invasion,Horror,Sci-Fi,Thriller
259741,2017,Rememberer,NA,NA,NA
6244,1988,Salaam Bombay!,Drama,NA,NA
142801,2015,Alice in Earnestland,NA,NA,NA
112332,1967,Caprice,Comedy,Crime,Thriller
157387,2016,Paradox,Action,Sci-Fi,NA
31923,1973,The Three Musketeers,Action,Adventure,Comedy
284601,2022,Uman – The Perfect Man,Comedy,NA,NA
27746,2004,Ginger Snaps: Unleashed,Horror,Thriller,NA
126044,2010,Brutal Relax,Action,Comedy,NA
108313,2000,Dirty Pictures,Drama,NA,NA
74857,1955,Strategic Air Command,Action,Drama,NA
210481,1981,When the Greeks,Adventure,Drama,War
230547,2019,Easter Under Wraps,Romance,NA,NA
168816,2013,Different Drummers,Children,Drama,NA
258573,2021,Woodlands Dark and Days Bewitched: A History of Folk Horror,Documentary,NA,NA
270746,2022,The Privilege,Horror,NA,NA
227086,1948,Eva,Drama,NA,NA
140765,2012,Carl Panzram: The Spirit of Hatred and Revenge,NA,NA,NA
85278,2009,The City of Your Final Destination,Drama,NA,NA
123900,1982,Safari 3000,Action,NA,NA
73664,2008,Dragon Hunters (Chasseurs de dragons),Adventure,Animation,Children
74141,1984,The Holy Innocents (Los Santos inocentes),Drama,NA,NA
117344,2013,Ragnarok,Action,Adventure,NA
146070,2014,Poshter Boyz,NA,NA,NA
76147,2009,I Hate Valentine's Day,Comedy,Romance,NA
278286,1993,Fuchzhou,Adventure,Comedy,Romance
258571,2021,The Righteous,Drama,Horror,NA
158723,1984,Pom Pom,Action,Comedy,NA
145448,1975,Simone e Matteo: un gioco da ragazzi,Comedy,NA,NA
287223,1992,Down and Sideways Up,Comedy,NA,NA
91071,1947,The Late George Apley,Comedy,NA,NA
138362,2012,A Special Day,Drama,NA,NA
198133,1931,Road to Life,Drama,NA,NA
289115,2021,Bunty Aur Babli 2,Comedy,Crime,Drama
158992,1952,The Captive City,Action,Drama,NA
164532,2016,Crossing Point,Action,Thriller,NA
152149,1972,Dionysus in '69,NA,NA,NA
282117,2008,The Wish Tree,Comedy,Drama,NA
254504,2013,First Fall,Animation,Drama,Fantasy
276035,1984,Zwei Nasen tanken Super,Comedy,NA,NA
166659,2016,Libera Nos,NA,NA,NA
168314,2015,Be My Cat: A Film for Anne,Horror,Thriller,NA
150134,1968,Sous le signe de Monte Cristo,Adventure,NA,NA
130634,2015,Furious 7,Action,Crime,Thriller
223432,2018,You Die,Drama,Horror,Thriller
164945,2016,Brother Nature,Comedy,NA,NA
160934,1962,El Extra,Comedy,NA,NA
173531,2004,Recon 2020: The Caprini Massacre,Action,Sci-Fi,NA
207952,2005,Getting Played,Comedy,Romance,NA
76736,2007,Grim Reaper,Horror,NA,NA
